Title,Name,Team,Name Trend,Team Trend,Year,Print Run,Patch,Jsy,Sticker,Rookie,Memorbilia,Autographed,Serial Number,Cost
2005-06 Artifacts #329 Nick Tarnasky RC , Nick Tarnasky,Tampa Bay Lightning,196,674,2005,750,0,0,0,1,0,0,1,5
2005-06 Artifacts #333 Andrew Wozniewski RC , Andy Wozniewski,Toronto Maple Leafs,100,1127,2005,750,0,0,0,1,0,0,1,7.2
2005-06 Artifacts Autofacts #AFBI Martin Biron , Martin Biron,Buffalo Sabres,1753,2180,2005,100,0,0,0,0,0,1,1,13.5
2005-06 Artifacts Autofacts #AFHO Marcel Hossa , Marcel Hossa,Montreal Canadiens,384,2057,2005,100,0,0,0,0,0,1,1,10
2005-06 Artifacts Autofacts #AFJL Joffrey Lupul 98/100, Joffrey Lupul,Anaheim Ducks,308,2544,2005,100,0,0,0,0,0,1,1,10.5
2005-06 Artifacts Autofacts #AFMO Brendan Morrison - Autograph Card Serial #013/100, Brendan Morrison,Vancouver Canucks,385,2597,2005,100,0,0,0,0,0,1,1,7.95
2005-06 Artifacts Autofacts #AFSW Stephen Weiss , Stephen Weiss,Florida Panthers,540,2613,2005,100,0,0,0,0,0,1,1,6
2005-06 Artifacts Autofacts #AFTS Tony Salmelainen - Autograph Card Serial #013/100, Tony Salmelainen,Edmonton Oilers,0,2477,2005,100,0,0,0,0,0,1,1,7.95
2005-06 Artifacts Autofacts Copper #AFBR Brad Richards , Brad Richards,Tampa Bay Lightning,1822,674,2005,75,0,0,0,0,0,1,1,18
2005-06 Artifacts Autofacts Copper #AFGL Georges Laraque , Georges Laraque,Edmonton Oilers,1372,2477,2005,75,0,0,0,0,0,1,1,12
2005-06 Artifacts Autofacts Copper #AFKD Kris Draper , Kris Draper,Detroit Red Wings,1773,1931,2005,75,0,0,0,0,0,1,1,3.6
